name,country,follower_count,products,shopid,ctime,rating_normal,rating_bad,rating_good,item_count,rating_star,shop_location,response_time,response_rate
Dingding Guangzhou,VN,378,52,596594464,1637284386,0,1,83,52,4.927711,Quốc Tế,9722.0,43
AIV.STORE,VN,3677,109,745796114,1649764524,9,1,199,109,4.788462,TP. Hồ Chí Minh,4270.0,99
AT Shop - Fashion Unisex,VN,2404,46,689661659,1644992264,2,1,185,46,4.930851,Long An,2543.0,86
TWOCE,VN,31340,73,6668061,1465573710,74,21,2846,73,4.865912,TP. Hồ Chí Minh,13380.0,86
Chuyên Đào 86,VN,1,8,819701069,1657978076,0,0,9,8,5.0,Hà Nội,1812.0,77
Lam.Thảo.68,VN,2733,289,353628352,1607594431,0,1,260,289,4.937984,Hà Nội,11708.0,56
nonolivee,VN,9343,52,235167250,1583943035,11,10,180,52,4.585859,TP. Hồ Chí Minh,10824.0,57
Simpoo Shop,VN,10598,43,28286106,1500545345,233,146,9264,43,4.83559,TP. Hồ Chí Minh,9629.0,79
tongkho_si_le_kathy04,VN,670,40,336802723,1605080432,77,58,2303,40,4.78516,TP. Hồ Chí Minh,,2
Unibaby,VN,456,50,218546246,1578759184,0,0,29,50,5.0,Hải Phòng,16941.0,78
ZEMY Store,VN,1727,45,725250460,1647912659,8,1,304,45,4.887821,Hà Nội,7706.0,81
Mộc Boutique NT,VN,19,57,863738548,1663128335,0,2,14,57,4.5,Lâm Đồng,,57
Lucifer Fashion,VN,47,25,319650202,1602145961,2,0,95,25,4.936508,Nam Định,16097.0,62
Vải Thể Thao-Lót-Lưới,VN,24,14,549042252,1632790577,0,1,36,14,4.861111,TP. Hồ Chí Minh,10907.0,54
heyyou_store8,VN,392,8,862472765,1662958933,4,1,16,8,4.380952,Hà Nội,16049.0,68
Shop quần áo - Nhạn,VN,998,866,227315326,1581576723,28,25,783,866,4.751816,Quốc Tế,17371.0,40
AUB Furniture,VN,81,26,704751884,1646246073,0,0,77,26,4.973684,Hà Nội,12011.0,95
DIMEI ULZZANG,VN,25258,153,323557077,1602840285,34,10,1097,153,4.858834,Quốc Tế,17073.0,37
best_2248,VN,2,18,855997592,1662212001,0,1,107,18,4.953488,Hải Dương,14020.0,80
Thời Trang Nam Nữ Gemini,VN,11337,178,362024552,1608697376,95,69,2125,178,4.716132,TP. Hồ Chí Minh,6536.0,55
BLACK COINS,VN,5010,14,572991409,1635198974,24,21,435,14,4.637895,Hà Nội,,16
NGOCANH CLOTHING,VN,464,102,262345181,1589509055,0,0,32,102,5.0,Hà Nội,3085.0,95
Maianh Fashion@,VN,7032,69,844969158,1660881146,0,0,26,69,5.0,Hải Phòng,195.0,50
DieuLinh Fashion,VN,3980,382,431898140,1619537502,27,43,234,382,4.19398,TP. Hồ Chí Minh,8929.0,39
Shop Hclothes,VN,843,90,174782358,1567311140,10,14,114,90,4.335766,Thanh Hóa,5089.0,90
karen254,VN,358,684,37455920,1507203537,0,0,152,684,5.0,Hà Nội,2880.0,72
Shop Thiên Dũng,VN,47,6,224502971,1580698121,1,0,13,6,4.857143,Bắc Ninh,5252.0,81
Unisex99.store,VN,6103,32,7556318,1467706597,108,127,1866,32,4.412437,Nam Định,17733.0,64
Gold Kids 2019,VN,354,385,137196567,1554047994,5,3,256,385,4.896414,Long An,17430.0,49
damai0014.vn,VN,74,972,778527927,1653356466,2,0,23,972,4.76,Quốc Tế,7114.0,80
rockcrawleraothun,VN,87,2886,434643498,1619871827,4,3,71,2886,4.546875,Hà Nội,,57
Lyen Costume Art,VN,5634,88,68215,1435517828,10,2,1677,88,4.965414,TP. Hồ Chí Minh,445.0,45
Hello kids -đồ xinh cho bé,VN,10847,130,443016228,1620915195,0,0,40,130,5.0,Nam Định,2414.0,90
Anna bebe Official,VN,228,27,66679559,1524640897,0,0,25,27,5.0,TP. Hồ Chí Minh,1353.0,100
LT997,VN,271,492,212591623,1576894688,31,37,597,492,4.570715,TP. Hồ Chí Minh,14529.0,88
GenZ - Tee Official,VN,6977,373,110514025,1543808559,9,3,439,373,4.873589,Nam Định,14835.0,76
NangAnhChuyenSi,VN,7994,103,758450934,1651036373,100,10,5207,103,4.903083,Hà Nội,5768.0,98
Xưởng May Thời Trang Giá Rẻeee,VN,12030,326,557712492,1633683278,686,281,8909,326,4.637263,Thanh Hóa,18598.0,76
Vân Shop,VN,31202,308,15670441,1485357851,118,39,2804,308,4.793797,Hà Nội,4137.0,98
Enjoy Freedom,VN,6159,273,860235491,1662706431,14,0,560,273,4.773869,Quốc Tế,14572.0,79
Jossie Blue,VN,7989,262,14636669,1483507339,9,3,442,262,4.891832,TP. Hồ Chí Minh,7707.0,78
Serein.Clothing,VN,6079,41,121982595,1548137740,0,0,168,41,4.993243,TP. Hồ Chí Minh,3294.0,94
rose_9x,VN,6941,130,55135761,1517588531,116,50,3473,130,4.84,Hà Nội,706.0,88
Dickies Vietnam - Heli Store,VN,19666,184,35015210,1505550751,70,35,3517,184,4.871616,TP. Hồ Chí Minh,9197.0,98
TRENDYSTW STORE,VN,25642,67,480276809,1625298764,234,73,9675,67,4.874647,Đà Nẵng,5068.0,99
tranga.store,VN,13909,221,114521180,1544864078,17,6,1067,221,4.889197,Hà Nội,12332.0,46
Dương Kids-Minkymom Store,VN,20619,139,106469911,1542699887,37,7,4460,139,4.954305,Hà Nội,13011.0,62
THỜI TRANG TANOLI,VN,1851,29,790181022,1654672776,8,1,245,29,4.866379,Hà Nội,9671.0,85
TIBU_UNISEX,VN,41446,265,569425382,1634812471,283,69,7971,265,4.834463,TP. Hồ Chí Minh,1315.0,98
Shop Q&V,VN,30393,811,401194819,1615441927,374,249,6921,811,4.671271,Đắk Nông,7879.0,84
May Dương Ngọc,VN,326,37,140678883,1555512502,47,24,1533,37,4.817676,Hà Nội,12789.0,59
themidside_,VN,78393,28,351232338,1607247084,329,94,11386,28,4.851735,TP. Hồ Chí Minh,7597.0,82
Bèo Shop - Chân Váy Ulzzang,VN,14725,310,465830047,1623559810,260,56,5646,310,4.789572,TP. Hồ Chí Minh,6621.0,99
Bn_Fashion,VN,11179,25,750984769,1650292548,20,2,489,25,4.819742,TP. Hồ Chí Minh,3772.0,97
NOUS_OUTLET,VN,8838,159,820819377,1658115781,12,1,422,159,4.906323,Hà Nội,8748.0,76
hd4v9gdqnc,VN,1916,100,397780570,1614922970,311,481,3048,100,4.197468,Hải Dương,15192.0,50
Z.T Women's wear Studio,VN,6988,837,498871131,1627468317,57,25,822,837,4.706742,Quốc Tế,4631.0,94
Mẹ Cu Bin-Thời Trang Trẻ Em,VN,8361,137,717307547,1647276331,23,9,548,137,4.765038,Nam Định,5285.0,100
LiLa Kids - Quần Áo Trẻ Em,VN,26769,176,446793626,1621418744,191,43,7905,176,4.877277,Hà Nội,1090.0,98
ohoh.official,VN,29393,42,343253835,1606067936,65,8,4086,42,4.926823,TP. Hồ Chí Minh,3735.0,96
AKL shop,VN,2226,168,375785826,1611108871,22,2,1022,168,4.926337,Hải Phòng,2209.0,97
huevu1234789,VN,7040,39,27485065,1499750786,45,7,1594,39,4.877301,Phú Yên,9429.0,83
Cholee.vn,VN,10539,12,805676713,1656465996,8,3,594,12,4.902135,Hà Nội,2885.0,100
🌵Thế Giới Hàng QC⛅️,VN,76553,236,86129621,1535197522,348,142,13447,236,4.864343,Hà Nội,7974.0,87
95Gym - Đồ Tập Gym Yoga,VN,2234,177,156512013,1560934888,15,6,1230,177,4.927442,Hà Nội,4660.0,93
ChinSu Shop ,VN,8397,74,226703825,1581388514,134,103,2716,74,4.631266,Hà Nội,3123.0,97
Áo Tem Xe,VN,776,38,69531932,1526357342,9,9,342,38,4.796089,TP. Hồ Chí Minh,3085.0,82
Thuhuyen68,VN,5755,221,8153259,1469257236,150,47,9318,221,4.911073,Hà Nội,1139.0,91
LINH DUBAI THỜI TRANG NAM,VN,12850,105,424508901,1618565984,20,20,1859,105,4.828541,Quảng Ninh,4094.0,72
