itemid,shopid,name,stock,ctime,sold,historical_sold,brand,catid,price,price_min,price_max,tier_variations
15988432215,799758785,Áo Khoác Chống Gió Thời Trang Xuân Thu Kiểu Mới Dành Cho Bé Trai 2022 Tuổi,1615,1655830288,1,3,No Brand,100633,12275800000,12275800000,17784600000,"[{'name': 'Màu sắc:', 'options': ['Bbrightyellowjacket', 'Blakebluejacket', 'Gridblackjacket', 'Gridbluejacket', 'Tbyellowsweater', 'Tbbluesweater'], 'images': ['d4c88ecd4780b355e0228e26376eff25', 'cdff1907069925fc21f9b7e0f11f7a7c', '1cb5d16060f699947209d87bf5f6ed3b', '7b0d24ed8a58ff89c7453f4e4b261a06', '103069f69c124f09a51104ab7a8b2f34', '9c0648d99ac5856f39df538a2bd3544a'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['110yardsfit100cm', '120yardsfit110cm', '130yardsfit120cm', '140yardsfit130cm', '150yardsfit140cm', '160yardsfit150cm'], 'images': None, 'properties': [], 'type': 0}]"
14788433259,799758785,Áo Khoác Cardigan Dệt Kim Thời Trang Mùa Xuân Cho Bé Gái 2022,5562,1655830282,0,0,No Brand,100633,15031700000,15031700000,15031700000,"[{'name': 'Màu sắc:', 'options': ['Màu be [KF47CTypeSmallFra', 'Đen [KF47CTypeSmallFr'], 'images': ['07dcf38fe2dcba97c98d19f347c52625', '20309dfd64874d784729484feda26e62'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['90cm', '100cm', '110cm', '120cm', '130cm', '140cm', '150cm'], 'images': None, 'properties': [], 'type': 0}]"
20914007024,799758785,Áo Khoác hoodie Mùa Xuân Phong Cách Hàn Quốc Mới Dành Cho Bé Gái 2022,5000,1655830281,0,0,No Brand,100633,23839800000,23839800000,23839800000,"[{'name': 'Màu sắc:', 'options': ['Pinkprintedwindbreaker', 'Yellowprintedwindbreaker', 'Màu xanh lá cây [BackpackJacke', 'Màu tím [PlacketPrintedJac', 'Màu vàng [BackpackJacket]', 'Màu vàng [LapelJacket]', 'Kaki [chặn màu', 'Militarygreen [áo khoác]', 'Màu vàng [áo khoác len]', 'Màu be [Áo khoác B]'], 'images': ['51da12c2f6933f540b79d18b0853860b', 'abe58ec31c5b035e40494db20336eef8', '4e22fe94df20767e00ae5691d4596134', '6534b6dd8e4c0e72d3cc9c1a5b3d7f16', 'cf190402009c70320a3cb51a204b81e5', '6fa55dd463edc8d8481cbdf21642568c', '40b83567c23d40861ff78844547912ed', '848f964a73d54cb1daf43fb1faac6153', '8bcf8d48b69bfbf79f963cdabe665a69', '01a7fe17eecf765ba32fca741fc1c4b4'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['120cm', '130cm', '140cm', '150cm', '160cm'], 'images': None, 'properties': [], 'type': 0}]"
14688433202,799758785,Áo Khoác Phong Cách Hàn Quốc Thời Trang Xuân Thu Dành Cho Bé Gái 2022,1072,1655830281,1,6,No Brand,100633,19184400000,19184400000,23506500000,"[{'name': 'Màu sắc:', 'options': ['WhiteShirt', 'BeigeSmallFragranceJacke'], 'images': ['6538c4689886ad67e6fb5bcec1656f58', 'fadce0fb09155ab11520b0c62d4ab8ab'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['100', '110', '120', '130', '140', '150', '160'], 'images': None, 'properties': [], 'type': 0}]"
15888432221,799758785,Áo Khoác Thời Trang Xuân Thu Phong Cách Nước Ngoài 2021 Cho Bé Trai,11999,1655830287,1,1,No Brand,100633,17596600000,17596600000,19829300000,"[{'name': 'Màu sắc:', 'options': ['Áo khoác đen KOwindbreaker', 'Taupe-kowindbreaker'], 'images': ['beafd2b5b469e1a1d7d7786db3df4fdb', 'ebdc5fb607296350cf41eb6fb2f4b585'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['100', '110', '120', '130', '140', '150'], 'images': None, 'properties': [], 'type': 0}]"
20814007131,799758785,Áo Khoác Cardigan Dệt Kim Tay Dài 2022 Kiểu Dáng Mới Cho Bé Gái,5728,1655830280,2,3,No Brand,100633,19878100000,19878100000,19878100000,"[{'name': 'Màu sắc:', 'options': ['Camred [KF33gridsmall', 'Fruitgreen [KF33gridsma'], 'images': ['8cd212a2c9dc60b3ca50aad8284167e8', '3feb35ce20fa810a15d4638d4fc4c7aa'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['90', '100', '110', '120', '130', '140', '150'], 'images': None, 'properties': [], 'type': 0}]"
14788433224,799758785,Áo Khoác Denim Thời Trang Hàn Quốc Mùa Xuân Mới Cho Bé Gái 2022,788,1655830282,0,0,No Brand,100633,17611300000,17611300000,20659400000,"[{'name': 'Màu sắc:', 'options': ['Fluorescentgreen'], 'images': ['31f9c16b38bc07f816cd58765516c8f8'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['80yards', '90yards', '100yards', '110yards', '120yards', '130yards', '140yards', '150yards'], 'images': None, 'properties': [], 'type': 0}]"
21314007218,799758785,Áo Khoác Bóng Chày Thiết Kế Mới Thời Trang Mùa Xuân Thu Dành Cho Bé Trai Và Bé Gái 6 Tuổi,18400,1655830289,1,2,No Brand,100633,11764200000,11764200000,14506000000,"[{'name': 'Màu sắc:', 'options': ['Áo khoác màu xanh lá cây', 'Jacket-littletiger', 'Áo khoác-Kaki', 'Áo khoác-đen', 'Áo khoác-Gấu', 'Áo khoác-DarkBlue'], 'images': ['67a5779c68c2d8a7b7d93cffb4003734', '43141141fc11aa326928dcf121ae3071', '3cbeb60eecbd7d190705dd9f48bdd47c', '4d361bc6bff619698143b086dc4214b7', '4b1339f9a4e013f43274f4c2652a9fe9', '192e5b6cfddb057c455085b4aedac0c3'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['73', '80', '90', '100', '110', '120', '130', '140'], 'images': None, 'properties': [], 'type': 0}]"
20914007244,799758785,Áo Khoác Thời Trang Xuân Thu Hàn Quốc Mới 2020 Cho Bé Gái,1398,1655830282,2,2,No Brand,100633,14261200000,14261200000,14261200000,"[{'name': 'Màu sắc:', 'options': ['98coatpink', '98coatgreen'], 'images': ['9b59b459848254f52a98c1881cc140a8', '5a7148d310306f34e7713926db1c659f'], 'properties': [], 'type': 0}, {'name': 'Kích thước', 'options': ['110=100cm', '120=110cm', '130=120cm', '140=130cm', '150=140cm', '160=150cm', '80=40cm'], 'images': None, 'properties': [], 'type': 0}]"
13855382012,26397731,áo khoác expecto,5,1638031555,2,5,,100017,4500000000,4500000000,4500000000,"[{'name': 'Màu sắc', 'options': ['Đen', 'Xanh'], 'images': ['bac0d0cdf37be0fc15bf4ece6b5ba336', '4fa7fc803e46bbd51f2e2731a018827f'], 'properties': [], 'type': 0}]"
19439790096,202980964,Áo khoác lông 2 màu hồng trắng thiết kế in logo KUDOSHOP Áo khoác ngoài form rộng unisex dễ phối đồ,1464,1661757579,127,138,,100017,9900000000,9900000000,9900000000,"[{'name': 'Màu', 'options': ['Hồng', 'Trắng'], 'images': ['fb3a7d2f532f17566bda90374cb3cea3', '46bd4a49e21a9af9a10eeb6dabfc1ca1'], 'properties': [], 'type': 0}]"
10742085660,202980964,Áo khoác lông form rộng unisex hình vảy 3 màu trẻ trung cá tính/ Áo lông cổ trụ tay bồng phong cách ulzzang_kudoshop,18756,1630314871,105,966,,100017,11500000000,11500000000,11500000000,"[{'name': 'Màu', 'options': ['đen', 'trắng', 'hồng'], 'images': ['103dfb3c3ec574846cb24bb1da0aea52', '64c1aa551482f6ceaa1a99c80f965cb2', '56068f52d213d8933d85077e939a03a8'], 'properties': [], 'type': 0}]"
20636167520,202980964,Áo cardigan dài tay viền trắng in số 8 KUDOSHOP Áo khoác nam nữ thiết kế cúc cài phong cách Hàn Quốc,2415,1660884953,27,58,,100017,7500000000,7500000000,7500000000,"[{'name': 'Màu', 'options': ['Đen'], 'images': ['f89de6b98feb21290c5c15ea5c57fb2f'], 'properties': [], 'type': 0}]"
10721925403,202980964,Set áo 2 dây ôm body kèm áo khoác cadigan tay bồng xinh xắn/ Set đồ nữ 2 món áo khoác nhẹ trẻ trung cá tính_kudoshop,6081,1627531653,8,138,,100017,5700000000,5700000000,5700000000,"[{'name': 'màu', 'options': ['trắng'], 'images': ['a1a3cc61067d5350a3acbcf78dd2be0f'], 'properties': [], 'type': 0}]"
18850682706,202980964,Áo khoác nỉ họa tiết WZS khóa kéo KUDOSHOP Áo khoác dài tay form rộng phong cách unisex mặc chống nắng,909,1664441291,72,72,,100017,8500000000,8500000000,8500000000,"[{'name': 'Sản phẩm', 'options': ['Áo khoác nỉ'], 'images': ['bdf1666b7c2ca5b16de2e5d71cbe8f8a'], 'properties': [], 'type': 0}]"
12296461270,202980964,Áo cardigan thom dài tay bốn sọc KUDOSHOP Áo khoác nam nữ thiết kế cúc cài phong cách Hàn Quốc,913,1663228211,70,73,,100017,7500000000,7500000000,7500000000,"[{'name': 'Màu', 'options': ['Đen'], 'images': ['2e89e03faa1407ee6e2c17fea77a954e'], 'properties': [], 'type': 0}]"
18543201135,202980964,Áo khoác lông màu trắng thiết kế mũ tai gấu  KUDOSHOP Áo khoác ngoài trơn form rộng unisex dễ phối đồ,753,1662536188,7,10,,100017,9500000000,9500000000,9500000000,"[{'name': 'Màu', 'options': ['Trắng'], 'images': ['58ae80f13e2f316990df76216b310701'], 'properties': [], 'type': 0}]"
20954869209,202980964,Áo cardigan chữ NIS viền chạy bo dệt xịn KUDOSHOP Áo khoác ngoài nữ dài tay dáng rộng phong cách Hàn Quốc,1882,1665797717,26,31,,100017,3900000000,3900000000,7500000000,"[{'name': 'Sản phẩm', 'options': ['Áo cardigan', 'Chun tóc'], 'images': ['7faaa091d6272e8741323e4b7fb32a59', 'sg-11134201-22100-1ccg5wivcxiv1f'], 'properties': [], 'type': 0}]"
19345925743,202980964,"Áo khoác croptop trơn chất da dày đẹp màu nâu KUDOSHOP Áo khoác nhẹ dáng ngắn phong cách thể thao, năng động",921,1663227586,8,10,,100017,10900000000,10900000000,10900000000,"[{'name': 'Màu', 'options': ['Nâu'], 'images': ['fd8645e659d0f439acae8e627901c17a'], 'properties': [], 'type': 0}]"
18537940907,202980964,Áo khoác lông trơn thiết kế cúc đen KUDOSHOP Áo khoác ngoài form rộng 2 màu unisex dễ phối đồ,1802,1661326719,20,25,,100017,9900000000,9900000000,9900000000,"[{'name': 'Màu', 'options': ['Trắng', 'Nâu'], 'images': ['4b975340a62c466642a8ceb7d275f226', '05e7fbf51d60a763ba35b1bd9b60d7ca'], 'properties': [], 'type': 0}]"
20545456346,202980964,Áo bomber dài tay họa tiết chữ S unisex KUDOSHOP Áo khoác nhẹ thiết kế phom rộng chất gió 2 lớp dày dặn,983,1663130282,4,7,,100017,9500000000,9500000000,9500000000,"[{'name': 'Sản phẩm', 'options': ['Đen'], 'images': ['a9692ddfdd783d068e7413a7c7228b84'], 'properties': [], 'type': 0}]"
9487048519,202980964,Áo khoác thể thao nam nữ 3 sọc khóa kéo trẻ trung năng động/ Áo khoác nỉ thu đông dài tay dáng rộng unisex_kudoshop,267,1628223541,40,98,,100017,6500000000,6500000000,6500000000,"[{'name': 'Màu', 'options': ['NI', 'ADD'], 'images': None, 'properties': [], 'type': 0}]"
13528787041,202980964,Set 2 món váy rút đùi kèm áo cadigan tay bồng ulzzang/ Set váy body 2 dây phối áo khoác nhẹ quyến rũ_kudoshop,7112,1634267338,3,377,,100017,8200000000,8200000000,8200000000,"[{'name': 'màu', 'options': ['đen'], 'images': ['a6551f005ccaffbea99eb1dbc95db6fc'], 'properties': [], 'type': 0}]"
21704590127,202980964,"Áo khoác ngoài sơ mi kẻ ô to tay dài phom rộng bigsize/ Áo sơ mi nam nữ tay bồng cá tính mặc đi học, đi làm_kudoshop",1636,1653361911,6,104,,100017,7200000000,7200000000,7200000000,"[{'name': 'màu', 'options': ['đen', 'trắng', 'nâu'], 'images': ['872b7ae57712947d34a9fed13e47bdbf', '1d4e06e967144c3b46e73a7e1cf648d4', '5908f7226612ebe6586d08be1c182eda'], 'properties': [], 'type': 0}]"
19654904402,202980964,Áo cardigan chữ GC may 2 túi hộp KUDOSHOP Áo khoác ngoài nữ dài tay dáng rộng phong cách Hàn Quốc,2873,1665808087,27,32,,100017,3900000000,3900000000,7500000000,"[{'name': 'Sản phẩm', 'options': ['Xanh', 'Đen', 'Chun tóc'], 'images': None, 'properties': [], 'type': 0}]"
19544168215,202980964,Áo khoác lông màu trắng thiết kế họa tiết chữ OFF KUDOSHOP Áo khoác ngoài form rộng unisex dễ phối đồ,895,1662715563,57,60,,100017,9900000000,9900000000,9900000000,"[{'name': 'Màu', 'options': ['Trắng'], 'images': ['1eae086305a0a20fb12eefad50d195ff'], 'properties': [], 'type': 0}]"
13048500277,202980964,Áo cadigan nữ tay dài kẻ caro bàn cờ form rộng unisex/ Áo khoác ngoài mặc thu đông cổ V kiểu cúc cài xinh xắn_kudoshop,38101,1636624945,15,284,,100017,7200000000,7200000000,7200000000,"[{'name': 'màu', 'options': ['đen'], 'images': ['1af7d5c6b9f3c7ed65432c33669c22e8'], 'properties': [], 'type': 0}]"
19029484355,202980964,Áo khoác lông có mũ họa tiết NI vảy KUDOSHOP Áo khoác ngoài form rộng 2 màu unisex mặc chống nắng,19139,1659170102,18,107,,100017,12500000000,12500000000,12500000000,"[{'name': 'Màu', 'options': ['Trắng', 'Đen'], 'images': ['1485131a12854f6a9a849b85296bc527', '678bcfc73e2b73867f4c9a23c283d55b'], 'properties': [], 'type': 0}]"
